analysis,model_or_variant,metric,slice_type,slice_value,planned_repeats,successful_repeats,unique_dates,positive_events,portfolio_count,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
warning,gradient_boosting,brier_score,regime,normal,5,5,53,21,6,-0.0001018271188397285,-0.00031468471263198931,0.00011725622297584606,0.63968015992004001,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.95952023988005997
warning,gradient_boosting,recall_at_frozen_threshold,regime,normal,5,5,53,21,6,0.038095238095238099,0.0095215633423180648,0.064516129032258063,0.12843578210894552,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.70639680159920037
warning,gradient_boosting,average_precision,regime,stress,5,5,54,27,8,-0.0034251336836169377,-0.013824791106779808,0.011207921424243903,0.80409795102448778,0.94999999999999996,2000,2000,20,15,5,estimable,,,1
warning,gradient_boosting,brier_score,regime,stress,5,5,54,27,8,-0.00010947929442800541,-0.0003320656318862607,0.00011939703476570547,0.28735632183908044,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.75862068965517238
warning,gradient_boosting,recall_at_frozen_threshold,regime,stress,5,5,54,27,8,0.14814814814814814,-0.015454545454545332,0.26251644736842095,0.037481259370314844,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.28365817091454271
warning,historical_tail_threshold,average_precision,overall,overall,1,1,54,50,10,-0.029823147035888953,-0.067290547328432634,0.0046969102856113899,0.27186406796601698,0.94999999999999996,2000,2000,20,3,1,estimable,,1,
warning,historical_tail_threshold,brier_score,overall,overall,1,1,54,50,10,0.0014241690605790031,-0.00038710959911383245,0.003326567843058788,0.27186406796601698,0.94999999999999996,2000,2000,20,3,1,estimable,,1,
warning,historical_tail_threshold,recall_at_frozen_threshold,overall,overall,1,1,54,50,10,-0.080000000000000002,-0.14999999999999999,0,0.52023988005997002,0.94999999999999996,2000,2000,20,3,1,estimable,,1,
warning,historical_tail_threshold,average_precision,market,us,1,1,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,brier_score,market,us,1,1,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,recall_at_frozen_threshold,market,us,1,1,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,average_precision,market,hk,1,1,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,brier_score,market,hk,1,1,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,recall_at_frozen_threshold,market,hk,1,1,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,historical_tail_threshold,average_precision,market,cn,1,1,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
